region,year,population,population_age_0_to_14,population_age_15_64,population_age_65_and_above,broadband_subscriptions,cellular_subscriptions
South Asia,1997,1313346377.00,486937861.00,772654491.00,53754025.00,"",1159044.00
South Asia,1998,1339202708.00,491515456.00,792091238.00,55596014.00,"",1642304.00
South Asia,1999,1365067928.00,495557596.00,812067035.00,57443297.00,"",2564006.00
South Asia,2000,1390946064.00,499155683.00,832477689.00,59312692.00,"",4610654.00
South Asia,2001,1416822959.00,503421381.00,851891661.00,61509917.00,50327.00,8506448.00
South Asia,2002,1442644058.00,507076663.00,871871850.00,63695545.00,83191.00,16793719.00
South Asia,2003,1468324422.00,510212825.00,892259736.00,65851861.00,144282.00,39203391.00
South Asia,2004,1493757846.00,512938093.00,912868726.00,67951027.00,256367.00,63084788.00
South Asia,2005,1518861552.00,515292857.00,933578447.00,69990248.00,1387080.00,116939914.00
South Asia,2006,1543610696.00,518073070.00,953244296.00,72293330.00,2357243.00,229130635.00
South Asia,2007,1568003159.00,520494963.00,972986684.00,74521512.00,3303988.00,347230170.00
South Asia,2008,1592010819.00,522480639.00,992836704.00,76693476.00,5629923.00,503420161.00
South Asia,2009,1615610198.00,523836934.00,1012945044.00,78828220.00,8660474.00,703991350.00
South Asia,2010,1638792934.00,524436327.00,1033399641.00,80956966.00,12508277.00,956959112.00
South Asia,2011,1661534412.00,524871513.00,1053149918.00,83512981.00,15470515.00,1133612137.00
South Asia,2012,1683747130.00,524278341.00,1073432746.00,86036042.00,17720391.00,1134455172.00
South Asia,2013,1705772050.00,522995126.00,1094135012.00,88641911.00,18859246.00,1190248700.00
South Asia,2014,1727640967.00,521467882.00,1114731181.00,91441904.00,21716379.00,1271478661.00
South Asia,2015,1749417068.00,519984160.00,1134924065.00,94508842.00,24615627.00,1330871634.00
South Asia,2016,1771167194.00,518067410.00,1154915642.00,98184140.00,28059480.00,1481310847.00
South Asia,2017,1792835608.00,516714425.00,1174111262.00,102009918.00,28779958.00,1554228849.00
South Asia,2018,1814388744.00,515583013.00,1192835260.00,105970472.00,32613171.00,1574139973.00
Sub-Saharan Africa,1960,227233223.00,97324221.00,123035935.00,6873067.00,"",0.00
Sub-Saharan Africa,1961,232567038.00,100202388.00,125300805.00,7063845.00,"",""
Sub-Saharan Africa,1962,238121698.00,103070640.00,127809985.00,7241073.00,"",""
Sub-Saharan Africa,1963,243893426.00,105935208.00,130552712.00,7405506.00,"",""
Sub-Saharan Africa,1964,249873743.00,108783385.00,133532262.00,7558097.00,"",""
Sub-Saharan Africa,1965,256059811.00,111613197.00,136746705.00,7699909.00,"",0.00
Sub-Saharan Africa,1966,262454422.00,115018812.00,139513753.00,7921857.00,"",""
Sub-Saharan Africa,1967,269072224.00,118322167.00,142618688.00,8131369.00,"",""
Sub-Saharan Africa,1968,275937224.00,121595055.00,146012655.00,8329515.00,"",""
Sub-Saharan Africa,1969,283080084.00,124919565.00,149642955.00,8517564.00,"",""
Sub-Saharan Africa,1970,290526189.00,128340463.00,153488053.00,8697673.00,"",0.00
Sub-Saharan Africa,1971,298284068.00,132346825.00,156960238.00,8977005.00,"",""
Sub-Saharan Africa,1972,306359274.00,136389657.00,160724461.00,9245155.00,"",""
Sub-Saharan Africa,1973,314761167.00,140476806.00,164781779.00,9502583.00,"",""
Sub-Saharan Africa,1974,323500188.00,144601085.00,169149465.00,9749637.00,"",""
Sub-Saharan Africa,1975,332583486.00,148767677.00,173828730.00,9987079.00,"",0.00
Sub-Saharan Africa,1976,342018831.00,153573181.00,178129028.00,10316623.00,"",0.00
Sub-Saharan Africa,1977,351808670.00,158338262.00,182832179.00,10638230.00,"",0.00
Sub-Saharan Africa,1978,361939361.00,163121750.00,187862812.00,10954799.00,"",0.00
Sub-Saharan Africa,1979,372404185.00,167988849.00,193147144.00,11268192.00,"",0.00
Sub-Saharan Africa,1980,383188232.00,172958821.00,198650230.00,11579182.00,"",0.00
Sub-Saharan Africa,1981,394281956.00,178685064.00,203653318.00,11943573.00,"",0.00
Sub-Saharan Africa,1982,405688903.00,184390301.00,209004989.00,12293613.00,"",0.00
Sub-Saharan Africa,1983,417425681.00,190080866.00,214712374.00,12632440.00,"",0.00
Sub-Saharan Africa,1984,429521938.00,195751377.00,220806903.00,12963658.00,"",0.00
Sub-Saharan Africa,1985,441988010.00,201398099.00,227300066.00,13289846.00,"",0.00
Sub-Saharan Africa,1986,454835629.00,207747964.00,233361917.00,13725748.00,"",0.00
Sub-Saharan Africa,1987,468053168.00,213969048.00,239932033.00,14152087.00,"",0.00
Sub-Saharan Africa,1988,481594292.00,220069683.00,246955419.00,14569190.00,"",0.00
Sub-Saharan Africa,1989,495407391.00,226041926.00,254387220.00,14978244.00,"",3980.00
Sub-Saharan Africa,1990,509451851.00,231859196.00,262210603.00,15382053.00,"",7880.00
Sub-Saharan Africa,1991,523726913.00,238165467.00,269694418.00,15867027.00,"",9600.00
Sub-Saharan Africa,1992,538246469.00,244243684.00,277666278.00,16336506.00,"",17406.00
Sub-Saharan Africa,1993,553020362.00,250139537.00,286086672.00,16794152.00,"",59142.00
Sub-Saharan Africa,1994,568072008.00,255919276.00,294907117.00,17245616.00,"",372608.00
Sub-Saharan Africa,1995,583413261.00,261630737.00,304086315.00,17696210.00,"",601706.00
Sub-Saharan Africa,1996,599067779.00,268368312.00,312491138.00,18208329.00,"",1083260.00
Sub-Saharan Africa,1997,615054371.00,275012280.00,321345283.00,18696807.00,"",2087517.00
Sub-Saharan Africa,1998,631400656.00,281616718.00,330623061.00,19160877.00,"",3872303.00
Sub-Saharan Africa,1999,648148316.00,288227468.00,340325265.00,19595583.00,"",6466858.00
Sub-Saharan Africa,2000,665327581.00,294882281.00,350447711.00,19997589.00,21.00,11445272.00
Sub-Saharan Africa,2001,682956070.00,302551766.00,359900058.00,20504246.00,802.00,17046727.00
Sub-Saharan Africa,2002,701066167.00,310185724.00,369913300.00,20967143.00,7120.00,25098099.00
Sub-Saharan Africa,2003,719716209.00,317886617.00,380432417.00,21397175.00,31232.00,35687622.00
Sub-Saharan Africa,2004,738983255.00,325783158.00,391392980.00,21807117.00,84939.00,54212996.00
Sub-Saharan Africa,2005,758924681.00,333946844.00,402771608.00,22206229.00,221153.00,90368334.00
Sub-Saharan Africa,2006,779566820.00,342963418.00,413761420.00,22841983.00,480596.00,135233899.00
Sub-Saharan Africa,2007,800908534.00,352123370.00,425323056.00,23462107.00,671709.00,184823777.00
Sub-Saharan Africa,2008,822945457.00,361419245.00,437458055.00,24068157.00,801225.00,261134046.00
Sub-Saharan Africa,2009,845655214.00,370804676.00,450189755.00,24660783.00,947491.00,316759711.00
Sub-Saharan Africa,2010,869025106.00,380246651.00,463533756.00,25244699.00,1345449.00,387953418.00
Sub-Saharan Africa,2011,893046172.00,390233935.00,476776747.00,26035489.00,1654192.00,471725434.00
Sub-Saharan Africa,2012,914476874.00,398811952.00,488982315.00,26682607.00,2095874.00,544447403.00
Sub-Saharan Africa,2013,939759620.00,408612095.00,503687189.00,27460337.00,2971686.00,618078177.00
Sub-Saharan Africa,2014,965648338.00,418346594.00,519056431.00,28245319.00,3613564.00,680980483.00
Sub-Saharan Africa,2015,992115660.00,428002202.00,535067156.00,29046302.00,3653258.00,751999700.00
Sub-Saharan Africa,2016,1019149983.00,437959186.00,551144807.00,30045989.00,3849574.00,752397695.00
Sub-Saharan Africa,2017,1046740781.00,447707782.00,567985147.00,31047851.00,3862746.00,765230774.00
Sub-Saharan Africa,2018,1074853734.00,457249633.00,585542658.00,32061442.00,4259462.00,791135773.00
